Recursor: Std.Rcc.HasRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Rcc.LawfulRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Rco.HasRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Do.SPred.Tactic.IsPure.rec | is_sort_poly: true
Recursor: Std.Rco.LawfulRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Rci.HasRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Rci.LawfulRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Roc.HasRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Roc.LawfulRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Roo.HasRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Roo.LawfulRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Roi.HasRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Roi.LawfulRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Ric.HasRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Ric.LawfulRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Rio.HasRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Rio.LawfulRcoIntersection.rec | is_sort_poly: true
Recursor: Std.Internal.ComputableSmall.rec | is_sort_poly: true
Recursor: Std.Internal.Small.rec | is_sort_poly: true
Recursor: Std.Internal.USquash.rec | is_sort_poly: true
Recursor: Std.Do.SPred.Tactic.IsAnd.rec | is_sort_poly: true
Recursor: Std.LawfulIteratorLoop.rec | is_sort_poly: true
Recursor: Std.Iterators.HetT.rec | is_sort_poly: true
Recursor: Std.Queue.rec | is_sort_poly: true
Recursor: Std.Do.SPred.Tactic.SimpAnd.rec | is_sort_poly: true
Recursor: Std.Do.SPred.Tactic.HasFrame.rec | is_sort_poly: true
Recursor: Std.Rcc.Sliceable.rec | is_sort_poly: true
Recursor: Std.Rco.Sliceable.rec | is_sort_poly: true
Recursor: Std.Rci.Sliceable.rec | is_sort_poly: true
Recursor: Std.Roc.Sliceable.rec | is_sort_poly: true
Recursor: Std.Rxc.HasSize.rec | is_sort_poly: true
Recursor: Std.Roo.Sliceable.rec | is_sort_poly: true
Recursor: Std.Roi.Sliceable.rec | is_sort_poly: true
Recursor: Std.Rxc.LawfulHasSize.rec | is_sort_poly: true
Recursor: Std.Ric.Sliceable.rec | is_sort_poly: true
Recursor: Std.Rio.Sliceable.rec | is_sort_poly: true
Recursor: Std.Rii.Sliceable.rec | is_sort_poly: true
Recursor: Std.Rxo.HasSize.rec | is_sort_poly: true
Recursor: Std.Rxo.LawfulHasSize.rec | is_sort_poly: true
Recursor: Std.Rxi.HasSize.rec | is_sort_poly: true
Recursor: Std.Rxi.LawfulHasSize.rec | is_sort_poly: true
Recursor: Lean.RBColor.rec | is_sort_poly: true
Recursor: Lean.RBNode.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.StepSizeIterator.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.FilterMap.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.Attach.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.FilterMap.PlausibleStep.rec | is_sort_poly: false
Recursor: Lean.RBNode.WellFormed.rec | is_sort_poly: false
Recursor: Lean.RBNode.WellFormed.below.rec | is_sort_poly: false
Recursor: Std.Slice.Internal.ListSliceData.rec | is_sort_poly: true
Recursor: Std.PRange.UpwardEnumerable.Map.rec | is_sort_poly: true
Recursor: Std.PRange.UpwardEnumerable.Map.PreservesLE.rec | is_sort_poly: true
